name,image,details_link
Switch Pro Controller Wireless Joystick for Nintendo Switch Console,https://down-sg.img.susercontent.com/file/aa13017c2c0812edbb251322530a011a_tn.webp,https://shopee.sg/Switch-Pro-Controller-Wireless-Joystick-for-Nintendo-Switch-Console-i.342027315.7066744647?extraParams=%7B%22display_model_id%22%3A80095135907%2C%22model_selection_logic%22%3A3%7D
5600mAh 5V USB Power Bank Case 18650 Battery Charger DIY Case For Cell Phone,https://down-sg.img.susercontent.com/file/37e1cc0963df200d082f95985faca83c_tn.webp,https://shopee.sg/5600mAh-5V-USB-Power-Bank-Case-18650-Battery-Charger-DIY-Case-For-Cell-Phone-i.9684704.95378425?extraParams=%7B%22display_model_id%22%3A75066151%2C%22model_selection_logic%22%3A3%7D
Nintendo Switch 2 Mario Kart Bundle | 1 Year Local Warranty **Free Tempered Glass** |,https://down-sg.img.susercontent.com/file/sg-11134207-824j7-me56xae1n9c4f1_tn.webp,https://shopee.sg/Nintendo-Switch-2-Mario-Kart-Bundle-1-Year-Local-Warranty-**Free-Tempered-Glass**--i.24889654.21414777339?extraParams=%7B%22display_model_id%22%3A129379409053%2C%22model_selection_logic%22%3A3%7D
Random Steam Key,https://down-sg.img.susercontent.com/file/sg-11134207-7rdyn-m15kk8ti0uqsda_tn.webp,https://shopee.sg/Random-Steam-Key-i.4839446.28660700691?extraParams=%7B%22display_model_id%22%3A148824646660%2C%22model_selection_logic%22%3A3%7D
[1+1] Nintendo Switch 2 / Switch OLED / Screen Protector Tempered Glass 9H for Nintendo Switch 2,https://down-sg.img.susercontent.com/file/sg-11134207-7rasx-maif9zokzz77f6_tn.webp,https://shopee.sg/-1-1-Nintendo-Switch-2-Switch-OLED-Screen-Protector-Tempered-Glass-9H-for-Nintendo-Switch-2-i.5526137.170402867?extraParams=%7B%22display_model_id%22%3A40577265105%2C%22model_selection_logic%22%3A3%7D
Mini Retro Game Console – 500-in-1 FC Handheld Gameboy-Style Gaming Device Konsol Permainan Tangan,https://down-sg.img.susercontent.com/file/my-11134201-7rasi-mawixnhh6pbe1c_tn.webp,https://shopee.sg/Mini-Retro-Game-Console-%E2%80%93-500-in-1-FC-Handheld-Gameboy-Style-Gaming-Device-Konsol-Permainan-Tangan-i.1299445769.28655023817?extraParams=%7B%22display_model_id%22%3A197643781653%2C%22model_selection_logic%22%3A3%7D
[SG READY STOCK] Nintendo Switch 2 Oled Dust Cover Base Transparent Nintendo Switch Game Console Host Dock Acrylic Cover,https://down-sg.img.susercontent.com/file/sg-11134207-7rdys-md086djcnulz53_tn.webp,https://shopee.sg/-SG-READY-STOCK-Nintendo-Switch-2-Oled-Dust-Cover-Base-Transparent-Nintendo-Switch-Game-Console-Host-Dock-Acrylic-Cover-i.335098101.21768164311?extraParams=%7B%22display_model_id%22%3A221136649248%2C%22model_selection_logic%22%3A3%7D
(SG) LionShield Nintendo Switch 2 / Switch OLED / Nintendo Switch (Gen 2/1) Screen Protector Tempered Glass,https://down-sg.img.susercontent.com/file/sg-11134207-7rauq-mav1zqv7hdn408_tn.webp,https://shopee.sg/(SG)-LionShield-Nintendo-Switch-2-Switch-OLED-Nintendo-Switch-(Gen-2-1)-Screen-Protector-Tempered-Glass-i.75632239.1371453698?extraParams=%7B%22display_model_id%22%3A31134942774%2C%22model_selection_logic%22%3A3%7D
⭐SG Local Set⭐ Nintendo Switch 2 Console Standalone / Mario Kart World Bundle - Official Singapore SW2 NS2,https://down-sg.img.susercontent.com/file/sg-11134207-7raud-makwjz84ycuoe4_tn.webp,https://shopee.sg/%E2%AD%90SG-Local-Set%E2%AD%90-Nintendo-Switch-2-Console-Standalone-Mario-Kart-World-Bundle-Official-Singapore-SW2-NS2-i.769445.41853164853?extraParams=%7B%22display_model_id%22%3A234325115488%2C%22model_selection_logic%22%3A3%7D
[Nintendo Official Store] Nintendo Switch 2 + Mario Kart World Bundle,https://down-sg.img.susercontent.com/file/sg-11134207-7rasu-mawjjsx2a0y96d_tn.webp,https://shopee.sg/-Nintendo-Official-Store-Nintendo-Switch-2-Mario-Kart-World-Bundle-i.508676651.44250710263?extraParams=%7B%22display_model_id%22%3A129369020759%2C%22model_selection_logic%22%3A3%7D
